EMP_NO,SWIPE_DATE,TIME_OF_SWIPE,IN_OUT_STATUS
29451,01-01-16,01-01-16 17:03,OUT
28281,01-01-16,01-01-16 8:51,IN
26107,01-01-16,01-01-16 9:51,IN
29652,01-01-16,01-01-16 10:01,IN
21338,01-01-16,01-01-16 9:55,IN
31298,01-01-16,01-01-16 10:01,IN
14553,01-01-16,01-01-16 10:11,IN
28108,01-01-16,01-01-16 10:13,IN
26264,01-01-16,01-01-16 9:34,IN
31366,01-01-16,01-01-16 12:43,OUT
28315,01-01-16,01-01-16 14:42,IN
25390,01-01-16,01-01-16 8:54,IN
31081,01-01-16,01-01-16 9:07,IN
29624,01-01-16,01-01-16 9:16,IN
17790,01-01-16,01-01-16 9:17,IN
33588,01-01-16,01-01-16 9:19,IN
31753,01-01-16,01-01-16 9:22,IN
20737,01-01-16,01-01-16 9:36,IN
26971,01-01-16,01-01-16 9:41,IN
33588,01-01-16,01-01-16 17:43,OUT
14553,01-01-16,01-01-16 18:05,OUT
26971,01-01-16,01-01-16 18:06,OUT
25390,01-01-16,01-01-16 17:15,OUT
25128,01-01-16,01-01-16 7:26,IN
30813,01-01-16,01-01-16 9:54,IN
33069,01-01-16,01-01-16 9:54,IN
28300,01-01-16,01-01-16 9:54,IN
31753,01-01-16,01-01-16 17:27,OUT
20750,01-01-16,01-01-16 17:27,OUT
18358,01-01-16,01-01-16 17:30,OUT
29878,01-01-16,01-01-16 7:56,IN
23435,01-01-16,01-01-16 10:03,IN
26264,01-01-16,01-01-16 17:36,OUT
21272,01-01-16,01-01-16 8:02,IN
21392,01-01-16,01-01-16 8:03,IN
24960,01-01-16,01-01-16 8:03,IN
29924,01-01-16,01-01-16 8:04,IN
25827,01-01-16,01-01-16 17:36,OUT
17790,01-01-16,01-01-16 17:39,OUT
23438,01-01-16,01-01-16 17:42,OUT
32735,01-01-16,01-01-16 17:42,OUT
29382,01-01-16,01-01-16 8:12,IN
17443,01-01-16,01-01-16 8:13,IN
25390,01-01-16,01-01-16 11:44,IN
21273,01-01-16,01-01-16 11:50,IN
23092,01-01-16,01-01-16 12:08,IN
25128,01-01-16,01-01-16 8:22,OUT
28332,01-01-16,01-01-16 8:23,IN
22976,01-01-16,01-01-16 8:23,IN
30327,01-01-16,01-01-16 8:26,IN
29379,01-01-16,01-01-16 8:31,IN
21330,01-01-16,01-01-16 16:15,IN
23092,01-01-16,01-01-16 16:17,OUT
25370,01-01-16,01-01-16 9:03,IN
25491,01-01-16,01-01-16 9:05,IN
29878,01-01-16,01-01-16 16:26,OUT
29382,01-01-16,01-01-16 16:30,OUT
27179,01-01-16,01-01-16 16:31,OUT
17443,01-01-16,01-01-16 16:31,OUT
19266,01-01-16,01-01-16 9:17,IN
30483,01-01-16,01-01-16 9:20,IN
26973,01-01-16,01-01-16 16:33,OUT
27042,01-01-16,01-01-16 16:33,OUT
29924,01-01-16,01-01-16 16:33,OUT
21272,01-01-16,01-01-16 16:33,OUT
21272,01-01-16,01-01-16 16:33,OUT
21273,01-01-16,01-01-16 16:34,OUT
31366,01-01-16,01-01-16 9:22,IN
21341,01-01-16,01-01-16 9:29,IN
17724,01-01-16,01-01-16 9:29,IN
26860,01-01-16,01-01-16 9:34,IN
28279,01-01-16,01-01-16 9:36,IN
18568,01-01-16,01-01-16 16:51,OUT
29379,01-01-16,01-01-16 16:58,OUT
29922,01-01-16,01-01-16 17:03,OUT
28998,01-01-16,01-01-16 16:32,OUT
16513,01-01-16,01-01-16 17:20,OUT
27118,01-01-16,01-01-16 17:22,OUT
28253,01-01-16,01-01-16 17:38,OUT
21805,01-01-16,01-01-16 17:47,OUT
16265,01-01-16,01-01-16 18:04,OUT
24323,01-01-16,01-01-16 18:04,OUT
17955,01-01-16,01-01-16 9:59,IN
25388,01-01-16,01-01-16 18:12,OUT
26847,01-01-16,01-01-16 10:05,IN
26847,01-01-16,01-01-16 18:12,OUT
31292,01-01-16,01-01-16 10:39,IN
30346,01-01-16,01-01-16 16:18,OUT
31878,01-01-16,01-01-16 9:47,IN
24661,01-01-16,01-01-16 9:47,IN
12511,01-01-16,01-01-16 9:55,IN
30183,01-01-16,01-01-16 7:50,IN
30346,01-01-16,01-01-16 8:06,IN
24596,01-01-16,01-01-16 8:06,IN
24682,01-01-16,01-01-16 8:15,IN
24371,01-01-16,01-01-16 8:53,IN
13739,01-01-16,01-01-16 9:21,IN
33075,01-01-16,01-01-16 9:29,IN
16265,01-01-16,01-01-16 9:30,IN
32368,01-01-16,01-01-16 8:01,IN
28374,01-01-16,01-01-16 8:04,IN
24596,01-01-16,01-01-16 8:06,IN
15205,01-01-16,01-01-16 8:13,IN
28134,01-01-16,01-01-16 8:13,IN
16513,01-01-16,01-01-16 8:36,IN
22994,01-01-16,01-01-16 8:05,IN
12734,01-01-16,01-01-16 8:10,IN
24957,01-01-16,01-01-16 8:46,IN
21805,01-01-16,01-01-16 8:52,IN
21065,01-01-16,01-01-16 8:43,IN
25610,01-01-16,01-01-16 8:59,IN
21250,01-01-16,01-01-16 9:06,IN
16077,01-01-16,01-01-16 9:19,IN
21658,01-01-16,01-01-16 9:11,IN
29383,01-01-16,01-01-16 9:12,IN
27118,01-01-16,01-01-16 9:20,IN
21835,01-01-16,01-01-16 9:41,IN
30322,01-01-16,01-01-16 9:29,IN
24371,01-01-16,01-01-16 18:02,OUT
23435,01-01-16,01-01-16 18:16,OUT
25370,01-01-16,01-01-16 18:07,OUT
19769,01-01-16,01-01-16 18:09,OUT
33069,01-01-16,01-01-16 18:15,OUT
21330,01-01-16,01-01-16 18:24,OUT
21903,01-01-16,01-01-16 18:26,OUT
29168,01-01-16,01-01-16 17:59,OUT
10315,01-01-16,01-01-16 17:48,OUT
21392,01-01-16,01-01-16 16:17,OUT
24960,01-01-16,01-01-16 16:17,OUT
20791,01-01-16,01-01-16 16:20,OUT
25489,01-01-16,01-01-16 16:15,IN
30184,01-01-16,01-01-16 16:16,OUT
31082,01-01-16,01-01-16 16:16,OUT
31082,01-01-16,01-01-16 8:14,IN
30184,01-01-16,01-01-16 8:14,IN
27179,01-01-16,01-01-16 8:27,IN
29451,01-01-16,01-01-16 8:41,IN
18358,01-01-16,01-01-16 8:42,IN
29922,01-01-16,01-01-16 8:46,IN
20659,01-01-16,01-01-16 8:16,IN
21566,01-01-16,01-01-16 8:27,IN
23586,01-01-16,01-01-16 16:32,OUT
21546,01-01-16,01-01-16 16:32,OUT
22927,01-01-16,01-01-16 16:32,OUT
20659,01-01-16,01-01-16 16:38,OUT
28939,01-01-16,01-01-16 18:27,OUT
14144,01-01-16,01-01-16 15:19,OUT
11847,01-01-16,01-01-16 18:27,OUT
27903,01-01-16,01-01-16 17:17,OUT
21546,01-01-16,01-01-16 7:57,IN
16829,01-01-16,01-01-16 8:09,IN
31232,01-01-16,01-01-16 8:16,IN
27903,01-01-16,01-01-16 8:27,IN
25717,01-01-16,01-01-16 15:31,OUT
25743,01-01-16,01-01-16 16:53,OUT
27063,01-01-16,01-01-16 18:00,OUT
21580,01-01-16,01-01-16 18:18,OUT
19245,01-01-16,01-01-16 18:54,OUT
18774,01-01-16,01-01-16 17:59,OUT
26834,01-01-16,01-01-16 18:14,OUT
21893,01-01-16,01-01-16 18:55,OUT
14541,01-01-16,01-01-16 9:51,IN
27063,01-01-16,01-01-16 9:51,IN
25743,01-01-16,01-01-16 8:37,IN
28440,01-01-16,01-01-16 9:47,IN
18774,01-01-16,01-01-16 9:48,IN
21580,01-01-16,01-01-16 9:27,IN
17091,01-01-16,01-01-16 9:46,IN
24249,01-01-16,01-01-16 9:43,IN
15682,01-01-16,01-01-16 8:27,IN
31394,01-01-16,01-01-16 8:27,IN
25743,01-01-16,01-01-16 16:53,OUT
14523,01-01-16,01-01-16 10:06,IN
30868,01-01-16,01-01-16 9:56,IN
24207,01-01-16,01-01-16 10:02,IN
26834,01-01-16,01-01-16 10:11,IN
15682,01-01-16,01-01-16 16:50,OUT
17193,01-01-16,01-01-16 18:35,OUT
14541,01-01-16,01-01-16 18:00,OUT
30183,01-01-16,01-01-16 16:18,OUT
31370,01-01-16,01-01-16 16:20,OUT
12734,01-01-16,01-01-16 16:23,OUT
21594,01-01-16,01-01-16 13:14,IN
15205,01-01-16,01-01-16 16:19,OUT
29381,01-01-16,01-01-16 16:23,OUT
30032,01-01-16,01-01-16 18:38,OUT
21065,01-01-16,01-01-16 18:02,OUT
29383,01-01-16,01-01-16 17:25,OUT
21658,01-01-16,01-01-16 17:25,OUT
32368,01-01-16,01-01-16 17:35,OUT
30057,01-01-16,01-01-16 17:48,OUT
21492,01-01-16,01-01-16 17:53,OUT
28374,01-01-16,01-01-16 17:56,OUT
24957,01-01-16,01-01-16 17:57,OUT
21810,01-01-16,01-01-16 18:09,OUT
23180,01-01-16,01-01-16 9:57,IN
21335,01-01-16,01-01-16 9:58,IN
21810,01-01-16,01-01-16 9:59,IN
13739,01-01-16,01-01-16 17:37,OUT
21492,01-01-16,01-01-16 10:18,IN
24662,01-01-16,01-01-16 10:27,IN
31006,01-01-16,01-01-16 16:24,OUT
24596,01-01-16,01-01-16 16:24,OUT
26841,01-01-16,01-01-16 17:23,OUT
