"","source","target","type"
"1","@myvotetoday","@myvotetoday","replied"
"2","@jobinindia","@drharshvardhan<U+2026>","mentioned"
"3","@PunjabiRooh","@GurkieMaan","retweeted"
"4","@kashifranwer","@ArvindKejriwal","replied"
"5","@kashifranwer","@ArvindKejriwal","mentioned"
"6","@TheNurpuriya","@TheBigBangScoop","retweeted"
"7","@Malhotra10Neha","@Malhotra10Neha","retweeted"
"8","@myvotetoday","@myvotetoday","replied"
"9","@auraheritagespa","@auraheritagespa","mentioned"
"10","@Cute_Virender","@Cute_Virender","retweeted"
"11","@Cute_Virender","@cricketaakash","mentioned"
"12","@TheOEDP","@ndtv","mentioned"
"13","@TheOEDP","@CIIPresident","mentioned"
"14","@sachin_madaan","@narendramodi","mentioned"
"15","@sachin_madaan","@ArvindKejriwal","mentioned"
"16","@sachin_madaan","@OfficeOfRG","mentioned"
"17","@HopeNewsChannel","@ShekharGupta","replied"
"18","@HopeNewsChannel","@ShekharGupta","mentioned"
"19","@myvotetoday","@myvotetoday","replied"
"20","@mallesh4science","@SkymetWeather","retweeted"
"21","@myvotetoday","@myvotetoday","replied"
"22","@myvotetoday","@BCCI)","mentioned"
"23","@msandeepbalyan","@rjraunac","retweeted"
"24","@vnch51","@sunitanar","replied"
"25","@vnch51","@sunitanar","mentioned"
"26","@oshek_singh","@rjraunac","retweeted"
"27","@Smartiesproject","@AirPollSurrey","retweeted"
"28","@Smartiesproject","@iSCAPEproject","mentioned"
"29","@Smartiesproject","@Smartiesproject","mentioned"
"30","@Smartiesproject","@ClairCity","mentioned"
"31","@Smartiesproject","@pk_shishodia","mentioned"
"32","@Smartiesproject","@UniSurr<U+2026>","mentioned"
"33","@drasskargil","@prernabindra","retweeted"
"34","@recruiterrajp","@jobinindia","retweeted"
"35","@pkyadab","@SwatiJaiHind","replied"
"36","@pkyadab","@SwatiJaiHind","mentioned"
"37","@pkyadab","@LtGovDelhi","mentioned"
"38","@pkyadab","@CPDelhi","mentioned"
"39","@pkyadab","@AamAadmiParty","mentioned"
"40","@Ashnorthstar","@NewsX","retweeted"
"41","@dnruni","@ArvindKejriwal","mentioned"
"42","@dnruni","@anilbaijal","mentioned"
"43","@Aksindel","@NewsX","retweeted"
"44","@nikkil1101","@NewsX","retweeted"
"45","@pandey_priyanka","@NewsX","retweeted"
"46","@sikhindus895","@ashish_tiwtter","retweeted"
"47","@sikhindus895","@KapilMishraAAP","mentioned"
"48","@sikhindus895","@ArvindKejriwal","mentioned"
"49","@sikhindus895","@ArvindKejriwal","mentioned"
"50","@roypp22","@OfficialSLC","mentioned"
"51","@roypp22","@ECB_cricket","mentioned"
"52","@rajneilkamath","@moefcc","replied"
"53","@rajneilkamath","@moefcc","mentioned"
"54","@RajeMirza","@yasarshah_SP","retweeted"
"55","@tdg_delhi","@Giza8774","retweeted"
"56","@yvirendra","@DrKumarVishwas","mentioned"
"57","@travelligence","@AashishKhetan","mentioned"
"58","@Hemlata70985031","@kabirputra","retweeted"
"59","@iSCAPEproject","@AirPollSurrey","retweeted"
"60","@iSCAPEproject","@iSCAPEproject","mentioned"
"61","@iSCAPEproject","@Smartiesproject","mentioned"
"62","@iSCAPEproject","@ClairCity","mentioned"
"63","@iSCAPEproject","@pk_shishodia","mentioned"
"64","@iSCAPEproject","@UniSurr<U+2026>","mentioned"
"65","@sanjay99000","@myvotetoday","retweeted"
"66","@sanjay99000","@BCCI)","mentioned"
"67","@Modikifouz","@rjraunac","retweeted"
"68","@TeenaDasi","@Tetuforgod","retweeted"
"69","@AirPollSurrey","@iSCAPEproject","mentioned"
"70","@AirPollSurrey","@Smartiesproject","mentioned"
"71","@AirPollSurrey","@ClairCity","mentioned"
"72","@AirPollSurrey","@pk_shishodia<U+2026>","mentioned"
"73","@ManikyaBhatia","@SoDelhi<U+2026>","mentioned"
"74","@myvotetoday","@myvotetoday","replied"
"75","@myvotetoday","@BCCI)","mentioned"
"76","@parnikashri","@RapidMetro","mentioned"
"77","@ARDMEHRA1966","@WIONews","retweeted"
"78","@ToshiTiwari96","@SkymetWeather","retweeted"
"79","@VickyNamo","@vermaranjana1","retweeted"
"80","@dkrishnan08","@VishalKOfficial","replied"
"81","@dkrishnan08","@VishalKOfficial","mentioned"
"82","@dkrishnan08","@ArvindKejriwal","mentioned"
"83","@dkrishnan08","@ArvindKejriwal","replied"
"84","@dkrishnan08","@ArvindKejriwal","mentioned"
"85","@dkrishnan08","@deespeak","replied"
