"","source","target","type"
"1","@VivekMohite06","@hjoe01","retweeted"
"2","@PurnimaShetty2","@rabyanoor1","replied"
"3","@PurnimaShetty2","@rabyanoor1","mentioned"
"4","@saurabhtak2","@TroluKejri","retweeted"
"5","@himdevs","@TroluKejri","retweeted"
"6","@Iamsayantis","@CarryMinati","retweeted"
"7","@somilagrawal","@shrinivassg","replied"
"8","@somilagrawal","@shrinivassg","mentioned"
"9","@shivamwagdre","@GyanGanga6","retweeted"
"10","@alimkha91055433","@ShwetaSarang9","retweeted"
"11","@AbhishekYogi20","@ManishLawaniya7","retweeted"
"12","@Castamere_Rains","@fakingnews","retweeted"
"13","@ravikumar_8484","@Ra_Bies","retweeted"
"14","@ravikumar_8484","@Ra_Bies","retweeted"
"15","@jmp1007","@ManishLawaniya7","retweeted"
"16","@Gopalda02120986","@GaneshD83669682","retweeted"
"17","@CabipoolAHMBD","@TwinkleKapdi","retweeted"
"18","@CabipoolAHMBD","@castrolbiking","mentioned"
"19","@CabipoolMUM","@TwinkleKapdi","retweeted"
"20","@CabipoolMUM","@castrolbiking","mentioned"
"21","@itszaheer_","@MumbaiPolice","retweeted"
"22","@TwinkleKapdi","@castrolbiking","replied"
"23","@TwinkleKapdi","@castrolbiking","mentioned"
"24","@pandurangdevk10","@mishrasugandha","retweeted"
"25","@suraj9819494495","@rtiindiapy","retweeted"
"26","@iambkyadav88","@ManishLawaniya7","retweeted"
"27","@ManishLawaniya7","@ManishLawaniya7","retweeted"
"28","@ParaUnaLoco","@jinawasseo","replied"
"29","@ParaUnaLoco","@jinawasseo","mentioned"
"30","@insiderdotin","@Agpworld","retweeted"
"31","@pickooo","@RohithCelluloid","retweeted"
"32","@IAmShubhammK16","@MeerraChopra","retweeted"
"33","@InderThe","@LalitBhojwani","retweeted"
"34","@Sameer99324730","@Shashipedia","retweeted"
"35","@alpeshtwitting","@radhika1705","retweeted"
"36","@alpeshtwitting","@RidlrMUM","mentioned"
"37","@alpeshtwitting","@TrendsMumbai","mentioned"
"38","@alpeshtwitting","@SkymetWeather<U+00E2><U+20AC><U+00A6>","mentioned"
"39","@ercanagay","@Sonja_Seear","retweeted"
"40","@ercanagay","@Peachtreespeaks:","mentioned"
"41","@Crazylover_ravi","@ravibhatia333","retweeted"
"42","@Jethaars2","@nishtha_khare","retweeted"
"43","@anant_d","@iimcomic","retweeted"
"44","@seemas2408","@ICICILombard","retweeted"
"45","@Priyank58243982","@GyanGanga6","retweeted"
"46","@Vijendr19703796","@GyanGanga6","retweeted"
"47","@KamatSudheer","@GyanGanga6","retweeted"
"48","@VijayKu12800414","@GyanGanga6","retweeted"
"49","@PoojaGS15","@mohituraina","replied"
"50","@PoojaGS15","@mohituraina","mentioned"
"51","@ManishLawaniya8","@ManishLawaniya7","retweeted"
"52","@imsubrk","@TroluKejri","retweeted"
"53","@TanavK89","@ZeeStudio","retweeted"
"54","@CyclebikePro","@LalitBhojwani","retweeted"
"55","@Rathod1Bhushan","@ManishLawaniya7","retweeted"
"56","@SidRossoneri","@_tanmay_","replied"
"57","@SidRossoneri","@_tanmay_","mentioned"
"58","@EsratTanha","@shivyapathania","retweeted"
"59","@JNChandra5","@ManishLawaniya7","retweeted"
"60","@bandra_news","@mumbaimirror","mentioned"
"61","@amfahindia","@amfahindia","mentioned"
"62","@Queen37120411","@juniorbachchan","retweeted"
"63","@jaruri_suchna7","@nishtha_khare","retweeted"
"64","@jaruri_suchna6","@nishtha_khare","retweeted"
"65","@MumbaiOpera","@Agpworld","retweeted"
"66","@Hitesh09558632","@CNBCTV18Live","retweeted"
"67","@Hitesh09558632","@Manisha3005","mentioned"
"68","@jinendra_surana","@ManishLawaniya7","retweeted"
"69","@ashwin124","@ManishLawaniya7","retweeted"
"70","@jaruri_suchna3","@nishtha_khare","retweeted"
"71","@Mogambo_12","@Trollsnpjs","retweeted"
"72","@OyeFollowTohKar","@Trollsnpjs","retweeted"
"73","@Amit_Photowalla","@MyMumbaiWeather","retweeted"
"74","@DArunkumarsingh","@ManishLawaniya7","retweeted"
"75","@muraliks_11","@ManishLawaniya7","retweeted"
"76","@nimish41128245","@ManishLawaniya7","retweeted"
"77","@baldevnauhvar","@manojxavi","retweeted"
"78","@Sharma09Anjali","@JustShowbiz","retweeted"
"79","@Sharma09Anjali","@iamTinaDatta","mentioned"
"80","@Sharma09Anjali","@itsssharad09","mentioned"
"81","@Sharma09Anjali","@SamikshaBh<U+00E2><U+20AC><U+00A6>","mentioned"
"82","@Sharma09Anjali","@JustShowbiz","retweeted"
"83","@Sharma09Anjali","@SshreyP","mentioned"
"84","@Sharma09Anjali","@jasminbhasin","mentioned"
"85","@Sharma09Anjali","@aniruddh_dave","mentioned"
"86","@Sharma09Anjali","@<U+00E2><U+20AC><U+00A6>","mentioned"
"87","@Sharma09Anjali","@JustShowbiz","retweeted"
"88","@Sharma09Anjali","@karan009wahi","mentioned"
"89","@Sharma09Anjali","@AnkitBathla88","mentioned"
"90","@KhondShrikant","@WesternRly","retweeted"
"91","@Aaryen99","@JustShowbiz","retweeted"
"92","@Aaryen99","@iamTinaDatta","mentioned"
"93","@Aaryen99","@itsssharad09","mentioned"
"94","@Aaryen99","@SamikshaBh<U+00E2><U+20AC><U+00A6>","mentioned"
"95","@Aaryen99","@JustShowbiz","retweeted"
"96","@Aaryen99","@SshreyP","mentioned"
"97","@Aaryen99","@jasminbhasin","mentioned"
"98","@Aaryen99","@aniruddh_dave","mentioned"
"99","@Aaryen99","@<U+00E2><U+20AC><U+00A6>","mentioned"
"100","@Aaryen99","@JustShowbiz","retweeted"
"101","@Aaryen99","@karan009wahi","mentioned"
"102","@Aaryen99","@AnkitBathla88","mentioned"
"103","@Anil_chaudhary_","@ManishLawaniya7","retweeted"
"104","@MukeshD41218759","@manojxavi","retweeted"
"105","@MukeshD41218759","@manojxavi","retweeted"
"106","@kkavithapandian","@nsitharaman","mentioned"
"107","@kkavithapandian","@narendramodi","mentioned"
"108","@kkavithapandian","@PMOIndia<U+00E2><U+20AC><U+00A6>","mentioned"
"109","@rekha_mamnani","@Raw_2_da_floor","retweeted"
"110","@amrutashroff007","@saleemsarangs","retweeted"
"111","@Rijin2204","@drshamamohd","retweeted"
"112","@meena7099","@Achintiyah","retweeted"
"113","@tenalirambirbal","@TroluKejri","retweeted"
"114","@RahulKa78102027","@manojxavi","retweeted"
"115","@Abhishe77482866","@nishtha_khare","retweeted"
"116","@VineetaSharmaz","@manojxavi","retweeted"
"117","@VineetaSharmaz","@manojxavi","retweeted"
"118","@VineetaSharmaz","@manojxavi","retweeted"
"119","@ClubArijit","@ARIJIT__SINGH","retweeted"
"120","@kh85665794_khan","@DivyankaClub","retweeted"
"121","@kh85665794_khan","@Divyanka_T","mentioned"
"122","@nazima_shaheen","@DivyankaClub","retweeted"
"123","@nazima_shaheen","@Divyanka_T","mentioned"
"124","@IkaMutik","@mishalraheja","retweeted"
"125","@Rahul40994215","@jenwinget","retweeted"
"126","@slitoff","@Sonja_Seear","retweeted"
"127","@slitoff","@Peachtreespeaks:","mentioned"
"128","@aarohy_kapoor","@BloomsburyIndia","replied"
"129","@aarohy_kapoor","@BloomsburyIndia","mentioned"
"130","@aarohy_kapoor","@TheVikasKhanna","mentioned"
"131","@aarohy_kapoor","@TimesLitFest","mentioned"
"132","@meet_abhijit","@IndianWeather_","replied"
"133","@meet_abhijit","@IndianWeather_","mentioned"
"134","@zardy_27","@SocietyTea","retweeted"
"135","@NKDasi1","@nishtha_khare","retweeted"
"136","@VikramArora20","@putsala_rao","retweeted"
"137","@VikramArora20","@mumbairailusers","mentioned"
"138","@VikramArora20","@RidlrMUM","mentioned"
"139","@VikramArora20","@RedFM_Mumbai","mentioned"
"140","@VikramArora20","@M<U+00E2><U+20AC><U+00A6>","mentioned"
"141","@VikramArora20","@putsala_rao","retweeted"
"142","@VikramArora20","@RidlrMUM","mentioned"
"143","@VikramArora20","@mumbai<U+00E2><U+20AC><U+00A6>","mentioned"
"144","@SaveFamiles","@putsala_rao","retweeted"
"145","@SaveFamiles","@mumbairailusers","mentioned"
"146","@SaveFamiles","@RidlrMUM","mentioned"
"147","@SaveFamiles","@RedFM_Mumbai","mentioned"
"148","@SaveFamiles","@M<U+00E2><U+20AC><U+00A6>","mentioned"
"149","@AbhinavT73","@putsala_rao","retweeted"
"150","@AbhinavT73","@mumbairailusers","mentioned"
"151","@AbhinavT73","@RidlrMUM","mentioned"
"152","@AbhinavT73","@RedFM_Mumbai","mentioned"
"153","@AbhinavT73","@M<U+00E2><U+20AC><U+00A6>","mentioned"
"154","@loves_alia","@aliaa08","retweeted"
