"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",1,"RT @hjoe01: #MumbaiRains why can't corporate houses declare off for their employees in such circumstances? If it doesn't rain deduct from l<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-12 09:30:30",FALSE,NA,940514187259691008,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VivekMohite06",182,TRUE,FALSE,NA,NA
"2",2,"@rabyanoor1 In Mumbai, it used as an effective sheild against rains..",FALSE,1,"rabyanoor1","2017-12-12 08:52:02",FALSE,940462822445555712,940504505283575808,791178086897156096,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PurnimaShetty2",0,FALSE,FALSE,NA,NA
"3",3,"#MumbaiWeather 12-Dec-17, 2:15 PM
Haze 
Temperature is 28 <U+00C2><U+00B0>C 
Humidity: 62%
Wind status: From the NW at 7 MPH",FALSE,0,NA,"2017-12-12 08:45:44",FALSE,NA,940502921304719360,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
"4",4,"RT @TroluKejri: #SmogInDelhi But Rains In Mumbai. Rain In Delhi Could Really Improve The Air Quality But Indra Dev Doesn't Want It. Modi Ji<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-12 08:24:24",FALSE,NA,940497549990838272,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","saurabhtak2",317,TRUE,FALSE,NA,NA
"5",5,"#MumbaiWeather 12-Dec-17, 1:15 PM
Haze 
Temperature is 28 <U+00C2><U+00B0>C 
Humidity: 54%
Wind status: From the NNW at 5 MPH",FALSE,0,NA,"2017-12-12 07:45:44",FALSE,NA,940487821369864192,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
"6",6,"RT @TroluKejri: #SmogInDelhi But Rains In Mumbai. Rain In Delhi Could Really Improve The Air Quality But Indra Dev Doesn't Want It. Modi Ji<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-12 07:24:30",FALSE,NA,940482478082375680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","himdevs",317,TRUE,FALSE,NA,NA
"7",7,"RT @CarryMinati: Is coming to Mumbai not a great Idea right now? Heard about some heavy rains...",FALSE,0,NA,"2017-12-12 07:11:51",FALSE,NA,940479295574614016,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iamsayantis",47,TRUE,FALSE,NA,NA
"8",8,"#MumbaiWeather 12-Dec-17, 12:15 PM
Haze 
Temperature is 28 <U+00C2><U+00B0>C 
Humidity: 54%
Wind status: From the WNW at 5 MPH",FALSE,0,NA,"2017-12-12 06:45:44",FALSE,NA,940472722173210624,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
"9",9,"@shrinivassg Smog in Mumbai, fog in Chennai and rains in Delhi! It's a weird winter",FALSE,0,"shrinivassg","2017-12-12 06:44:21",FALSE,940422065303068672,940472371453902848,17507350,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","somilagrawal",0,FALSE,FALSE,NA,NA
"10",10,"#MumbaiWeather 12-Dec-17, 11:15 AM
Haze 
Temperature is 27 <U+00C2><U+00B0>C 
Humidity: 61%
Wind status: Calm",FALSE,0,NA,"2017-12-12 05:45:44",FALSE,NA,940457621491822592,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
"11",11,"#MumbaiWeather Sunny today! With a high of 28C and a low of 21C.",FALSE,1,NA,"2017-12-12 05:01:13",FALSE,NA,940446417373614080,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MyMumbaiWeather",0,FALSE,FALSE,NA,NA
"12",12,"#MumbaiWeather 12-Dec-17, 10:15 AM
Haze 
Temperature is 26 <U+00C2><U+00B0>C 
Humidity: 65%
Wind status: From the North at 8 MPH",FALSE,0,NA,"2017-12-12 04:45:44",FALSE,NA,940442521682841600,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
"13",13,"#MumbaiWeather 12-Dec-17, 9:15 AM
Haze 
Temperature is 25 <U+00C2><U+00B0>C 
Humidity: 69%
Wind status: From the NE at 5 MPH",FALSE,0,NA,"2017-12-12 03:45:44",FALSE,NA,940427421672542208,NA,"<a href=""http://www.swapnil.tk"" rel=""nofollow"">MumbaiWeatherNow</a>","MumbaiWeatherNw",0,FALSE,FALSE,NA,NA
